entity_name,Unnamed: 1,median_seconds_empty,total_pitches,arm_injury_2022,Player,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Alexander, Tyler,18.269,700,1,Tyler Alexander,"Alexander, Tyler",641302,90.0,90.1,85.5,80.8,82.8,,,,77.4,
Raley, Brooks,18.325,403,0,Brooks Raley,"Raley, Brooks",548384,90.3,90.7,88.0,,85.5,,,,81.4,
Payamps, Joel,18.353,434,0,Joel Payamps,"Payamps, Joel",606303,94.8,94.3,,82.2,88.9,,,,,
Yarbrough, Ryan,18.361,593,1,Ryan Yarbrough,"Yarbrough, Ryan",642232,86.7,85.7,82.3,,78.6,,,,71.3,70.0
Bradish, Kyle,18.363,911,1,Kyle Bradish,"Bradish, Kyle",680694,94.6,95.3,,86.9,89.9,83.2,,,,
Gonsolin, Tony,18.395,867,1,Tony Gonsolin,"Gonsolin, Tony",664062,93.1,93.3,,87.5,,80.7,83.5,,,
Okert, Steven,18.405,456,0,Steven Okert,"Okert, Steven",595345,93.7,,,82.0,,,,,,
Ashcraft, Graham,18.415,774,0,Graham Ashcraft,"Ashcraft, Graham",668933,98.1,97.2,97.3,85.8,89.8,,,,,
Cease, Dylan,18.427,1371,0,Dylan Cease,"Cease, Dylan",656302,96.8,96.5,,87.4,77.9,81.1,,,,
Rodríguez, Joely,18.442,409,0,Joely Rodríguez,"Rodríguez, Joely",570257,92.8,92.7,,83.8,87.8,,,,,
Ray, Robbie,18.49,1275,0,Robbie Ray,"Ray, Robbie",592662,93.4,93.3,,87.2,86.9,79.7,,,,
Brieske, Beau,18.538,541,1,Beau Brieske,"Brieske, Beau",689225,94.3,93.6,,86.2,82.0,78.1,,,,
Gray, Jon,18.548,907,0,Jon Gray,"Gray, Jon",592351,95.9,95.6,,85.8,88.7,77.8,,,84.9,
Norris, Daniel,18.557,488,0,Daniel Norris,"Norris, Daniel",596057,91.2,90.9,,81.0,86.7,76.1,,,79.9,
Javier, Cristian,18.599,1131,0,Cristian Javier,"Javier, Cristian",664299,93.8,94.6,,,85.3,76.5,,,79.8,
Loup, Aaron,18.617,424,0,Aaron Loup,"Loup, Aaron",571901,91.9,91.2,84.7,,80.3,76.0,,,,
